,name,main_speaker,views,comments,Funny,Beautiful,Ingenious,Courageous,Longwinded,Confusing,Informative,Fascinating,Unconvincing,Persuasive,Jawdrop,Ok,Obnoxious,Inspiring
1333,Stephen Petranek: Your kids might live on Mars. Here's how they'll survive,Stephen Petranek,1419325,139,359,292,348,68,14,11,46,49,264,26,29,36,14,72
1334,Paula Hammond: A new superweapon in the fight against cancer,Paula Hammond,1417316,65,324,143,222,186,58,26,19,3,15,28,8,2,4,6
1335,Astro Teller: The unexpected benefit of celebrating failure,Astro Teller,2300106,45,565,190,170,117,208,83,16,40,81,15,18,16,11,9
1336,Mary Norris: The nit-picking glory of The New Yorker's Comma Queen,Mary Norris,1060918,36,60,61,172,9,66,156,24,26,31,4,3,8,4,2
1337,Christiana Figueres: The inside story of the Paris climate agreement,Christiana Figueres,1031398,107,70,132,79,85,25,167,23,12,66,29,37,3,3,1
1338,Chris Anderson: TED's secret to great public speaking,Chris Anderson,2952041,73,179,902,416,539,266,95,111,12,25,23,14,18,33,39
1339,Joshua Prager: Wisdom from great writers on every year of life,Joshua Prager,1531062,31,77,140,34,197,68,11,14,36,42,102,19,9,19,39
1340,Juan Enriquez: We can reprogram life. How to do it wisely,Juan Enriquez,1973225,77,149,416,29,299,191,40,172,55,51,25,36,16,5,6
1341,Aditi Gupta: A taboo-free way to talk about periods,Aditi Gupta,1428083,35,370,331,275,60,67,81,21,49,86,36,6,8,4,0
1342,Kenneth Lacovara: Hunting for dinosaurs showed me our place in the universe,Kenneth Lacovara,1426970,48,100,394,407,54,129,12,366,95,65,58,27,7,4,4
1343,Shivani Siroya: A smart loan for people with no credit history (yet),Shivani Siroya,1437353,61,169,253,169,308,179,53,90,56,18,9,7,7,11,12
1344,R. Luke DuBois: Insightful human portraits made from data,R. Luke DuBois,1222519,29,360,122,243,92,153,111,16,53,14,26,7,2,3,12
1345,Ameera Harouda: Why I put myself in danger to tell the stories of Gaza,Ameera Harouda,961423,139,135,138,295,259,52,54,30,90,6,24,28,22,17,4
1346,Michael Metcalfe: A provocative way to finance the fight against climate change,Michael Metcalfe,1184083,40,166,16,57,23,29,93,30,38,36,15,14,5,6,0
1347,Riccardo Sabatini: How to read the genome and build a human being,Riccardo Sabatini,1503016,67,465,163,216,58,419,52,178,12,44,5,34,8,6,1
1348,Sarah Gray: How my son's short life made a lasting difference,Sarah Gray,1431262,24,232,98,268,162,60,12,39,15,61,20,8,4,3,0
1349,"Alice Rawsthorn: Pirates, nurses and other rebel designers",Alice Rawsthorn,914011,15,38,54,70,29,61,94,19,4,12,12,4,7,7,5
1350,Dan Pallotta: The dream we haven't dared to dream,Dan Pallotta,1836233,64,504,327,788,37,120,131,39,49,11,37,22,59,24,66
1351,Monica Byrne: A sci-fi vision of love from a 318-year-old hologram,Monica Byrne,876021,120,38,37,23,205,152,42,66,56,19,33,40,11,8,7
1352,Michael Bodekaer: This virtual lab will revolutionize science class,Michael Bodekaer,1132257,74,64,139,270,293,70,56,170,53,53,19,20,2,10,1
1353,Jennifer Kahn: Gene editing can now change an entire species -- forever,Jennifer Kahn,1498103,96,28,495,106,311,122,211,85,20,38,8,32,44,5,3
1354,Uri Hasson: This is your brain on communication,Uri Hasson,1800490,43,498,334,59,144,46,148,20,9,77,8,30,45,25,18
1355,Sanford Biggers: An artist's unflinching look at racial violence,Sanford Biggers,987388,38,151,134,182,54,65,10,22,28,65,24,28,4,65,1
1356,Sangeeta Bhatia: This tiny particle could roam your body to find tumors,Sangeeta Bhatia,766188,28,90,213,47,173,193,172,26,51,32,2,14,6,13,1
1357,Kang Lee: Can you really tell if a kid is lying?,Kang Lee,6406853,107,348,133,109,1018,854,205,733,204,3,342,26,12,9,3
1358,Laura Indolfi: Good news in the fight against pancreatic cancer,Laura Indolfi,1183075,35,56,274,49,102,145,13,43,70,18,3,19,3,3,0
1359,Sebastian Junger: Our lonely society makes it hard to come home from war,Sebastian Junger,768077,68,114,186,117,132,265,235,18,3,6,3,10,3,33,3
1360,Juno Mac: The laws that sex workers really want,Juno Mac,1811102,212,600,572,248,59,387,75,52,62,87,25,23,17,12,14
1361,Trevor Timm: How free is our freedom of the press?,Trevor Timm,1258881,51,297,347,147,27,7,60,76,30,21,6,13,8,16,0
1362,Lidia Yuknavitch: The beauty of being a misfit,Lidia Yuknavitch,2190919,372,1468,1255,1641,57,150,82,105,47,56,207,18,64,44,25
1363,Mariano Sigman: Your words may predict your future mental health,Mariano Sigman,2275945,70,425,291,693,602,25,107,66,44,103,129,45,2,46,12
1364,Zaria Forman: Drawings that show the beauty and fragility of Earth,Zaria Forman,1078782,34,237,453,109,327,79,78,12,29,7,30,13,34,5,0
1365,Joseph Ravenell: How barbershops can keep men healthy,Joseph Ravenell,993232,26,47,154,50,58,117,19,10,17,4,54,4,6,7,3
1366,Adam Driver: My journey from Marine to actor,Adam Driver,3016666,36,251,164,131,14,44,35,14,208,80,79,33,33,5,4
1367,"Sue Desmond-Hellmann: A smarter, more precise way to think about public health",Sue Desmond-Hellmann,929167,39,51,50,64,20,130,38,87,13,13,28,20,8,3,8
1368,Ken Robinson: Do schools kill creativity?,Ken Robinson,47227110,4553,19645,4573,6073,3253,387,242,7346,10581,300,10704,4439,1174,209,24924
1369,Al Gore: Averting the climate crisis,Al Gore,3200520,265,544,139,62,58,258,113,443,413,132,56,268,116,131,203
1370,David Pogue: Simplicity sells,David Pogue,1636292,124,964,45,183,60,104,78,395,230,166,27,146,230,54,142
1371,Majora Carter: Greening the ghetto,Majora Carter,1697550,200,760,291,32,59,105,36,53,380,1070,132,460,230,35,85
1372,Hans Rosling: The best stats you've ever seen,Hans Rosling,12005869,593,3202,1390,942,318,110,72,67,5433,2893,4606,3736,2542,248,61
1373,Tony Robbins: Why we do what we do,Tony Robbins,20685401,672,1102,721,377,301,706,397,285,1038,5211,1350,2423,441,669,335
1374,Julia Sweeney: Letting go of God,Julia Sweeney,3769987,919,477,2484,320,225,277,72,226,438,316,193,311,308,290,61
1375,Joshua Prince-Ramus: Behind the design of Seattle's library,Joshua Prince-Ramus,967741,46,195,98,26,34,26,175,121,153,25,37,63,57,9,5
1376,Dan Dennett: Let's teach religion -- all religion -- in schools,Dan Dennett,2567958,852,562,70,283,60,177,211,145,623,441,313,764,60,154,83
1377,Rick Warren: A life of purpose,Rick Warren,3095993,900,838,767,476,116,306,111,304,2556,459,26,1543,371,245,209
1378,Cameron Sinclair: My wish: A call for open-source architecture,Cameron Sinclair,1211416,79,169,258,18,187,608,148,51,34,21,14,160,66,7,39
1379,Jehane Noujaim: My wish: A global day of film,Jehane Noujaim,387877,55,70,96,16,20,5,201,33,14,41,7,42,20,26,1
1380,Larry Brilliant: My wish: Help me stop pandemics,Larry Brilliant,693341,71,188,86,9,16,240,83,57,70,111,11,5,5,2,3
1381,Jeff Han: The radical promise of the multi-touch interface,Jeff Han,4531020,242,1014,277,34,55,104,19,32,461,471,919,4643,77,23,188
1382,Nicholas Negroponte: One Laptop per Child,Nicholas Negroponte,358304,99,83,89,20,32,104,216,67,14,31,6,30,49,29,11
1383,Sirena Huang: An 11-year-old's magical violin,Sirena Huang,2702470,325,1671,190,190,29,143,879,635,22,10,2280,95,41,39,15
1384,"Jennifer Lin: Improvising on piano, aged 14",Jennifer Lin,1628912,305,1107,85,197,22,35,552,454,53,1997,68,32,22,24,31
1385,Amy Smith: Simple designs to save a life,Amy Smith,1415724,88,321,150,67,279,515,159,13,21,19,140,30,63,4,7
1386,"Ross Lovegrove: Organic design, inspired by nature",Ross Lovegrove,1074081,163,259,49,185,80,79,119,113,71,363,220,93,210,68,22
1387,Jimmy Wales: The birth of Wikipedia,Jimmy Wales,1106561,84,104,13,46,170,63,478,277,181,19,73,68,11,54,14
1388,Richard Baraniuk: The birth of the open-source learning revolution,Richard Baraniuk,966439,108,117,52,22,12,30,320,258,111,8,26,26,120,69,6
1389,Ze Frank: Nerdcore comedy,Ze Frank,6141440,185,2799,387,75,74,137,203,266,196,61,177,80,239,450,20
1390,Mena Trott: Meet the founder of the blog revolution,Mena Trott,518624,50,82,106,86,33,54,119,67,40,34,9,87,23,41,3
1391,"Helen Fisher: Why we love, why we cheat",Helen Fisher,9260764,556,780,177,864,345,249,2591,1083,2106,245,115,1513,394,207,111
1392,Eve Ensler: Happiness in body and soul,Eve Ensler,1131864,117,654,154,109,31,27,44,342,13,789,144,97,97,26,43
1393,David Deutsch: Chemical scum that dream of distant quasars,David Deutsch,1096862,184,269,92,131,42,91,446,397,515,45,49,1234,73,139,21
1394,Richard Dawkins: Why the universe seems so strange,Richard Dawkins,2885999,507,333,112,127,417,42,91,653,674,1281,324,41,367,93,39
1395,Steven Levitt: The freakonomics of crack dealing,Steven Levitt,2863214,95,485,43,19,35,175,12,532,93,404,44,61,109,7,17
1396,"Malcolm Gladwell: Choice, happiness and spaghetti sauce",Malcolm Gladwell,7023562,355,1668,1127,333,190,80,87,115,2004,1276,2082,1014,290,361,51
1397,Dan Gilbert: The surprising science of happiness,Dan Gilbert,14689301,970,1728,1166,241,444,174,169,248,3899,3554,4303,2355,1047,439,67
1398,Barry Schwartz: The paradox of choice,Barry Schwartz,10000702,991,1526,178,1201,400,277,2532,2427,2491,324,54,2478,521,421,115
1399,Eva Vertes: Meet the future of cancer research,Eva Vertes,1030267,213,68,171,279,277,38,84,377,356,30,58,93,152,75,13
1400,Aubrey de Grey: A roadmap to end aging,Aubrey de Grey,3277740,612,309,215,350,215,206,297,65,536,518,812,1359,145,337,120
1401,Iqbal Quadir: How mobile phones can fight poverty,Iqbal Quadir,503517,74,112,11,16,164,153,61,55,8,66,32,6,18,3,1
1402,Jacqueline Novogratz: Invest in Africa's own solutions,Jacqueline Novogratz,705389,58,60,53,16,30,138,260,62,4,92,6,21,5,5,3
1403,Sasa Vucinic: Why we should invest in a free press,Sasa Vucinic,580891,43,31,42,101,71,27,25,53,51,11,4,3,4,1,11
1404,Ashraf Ghani: How to rebuild a broken state,Ashraf Ghani,809226,67,139,25,48,31,35,21,218,113,44,51,35,112,9,11
1405,Burt Rutan: The real future of space exploration,Burt Rutan,2028451,186,168,30,63,86,77,23,336,498,247,70,115,63,198,47
1406,Ben Saunders: Why did I ski to the North Pole?,Ben Saunders,745231,57,80,274,44,18,44,288,124,74,20,22,7,7,10,1
1407,Bono: My wish: Three actions for Africa,Bono,718649,112,41,68,12,104,26,30,80,294,51,145,22,39,24,33
1408,Edward Burtynsky: My wish: Manufactured landscapes and green education,Edward Burtynsky,975107,58,106,52,58,158,184,11,149,8,20,95,27,64,10,10
1409,Robert Fischell: My wish: Three unusual medical inventions,Robert Fischell,382996,33,126,115,6,18,4,48,74,11,23,8,27,18,20,1
1410,Peter Donnelly: How juries are fooled by statistics,Peter Donnelly,1053758,105,103,67,13,98,106,844,87,357,364,73,75,15,11,2
1411,Michael Shermer: Why people believe weird things,Michael Shermer,5364639,494,2751,151,509,136,51,1344,373,799,109,37,1958,133,237,157
1412,Ray Kurzweil: The accelerating power of technology,Ray Kurzweil,2434344,233,61,207,111,91,55,150,806,388,18,691,309,237,141,27
1413,Kevin Kelly: How technology evolves,Kevin Kelly,1536873,149,192,269,52,11,87,147,136,279,311,34,1084,111,49,24
1414,Peter Gabriel: Fight injustice with raw video,Peter Gabriel,904215,52,180,36,5,23,145,222,25,14,27,92,33,8,36,3
1415,Richard St. John: 8 secrets of success,Richard St. John,10841210,578,2966,576,213,1912,4978,43,777,638,457,27,1433,251,685,57
1416,Rives: If I controlled the Internet,Rives,1813665,95,949,377,44,408,41,21,195,56,186,45,135,73,94,25
1417,Dean Ornish: The killer American diet that's sweeping the planet,Dean Ornish,2299265,199,749,54,8,28,61,151,31,85,31,331,133,14,62,8
1418,Robert Neuwirth: The hidden world of shadow cities,Robert Neuwirth,673036,85,265,70,36,45,105,130,97,18,21,73,32,47,62,3
1419,Bjorn Lomborg: Global priorities bigger than climate change,Bjorn Lomborg,1391142,499,283,139,16,79,63,537,16,549,280,169,1668,111,67,212
1420,Wade Davis: Dreams from endangered cultures,Wade Davis,2532851,371,563,698,68,24,136,55,54,970,928,192,380,426,75,46
1421,Phil Borges: Photos of endangered cultures,Phil Borges,882034,59,126,116,25,61,30,157,88,16,33,17,24,7,14,5
1422,Martin Rees: Is this our final century?,Martin Rees,2121177,203,214,60,47,63,132,109,607,460,737,27,175,188,21,117
1423,Robert Wright: Progress is not a zero-sum game,Robert Wright,1090180,130,342,102,121,140,107,55,30,251,343,167,288,129,23,40
1424,"Steven Johnson: How the ""ghost map"" helped end a killer disease",Steven Johnson,684519,47,94,384,201,26,13,66,9,72,20,11,10,5,2,5
1425,Charles Leadbeater: The era of open innovation,Charles Leadbeater,1409327,91,116,29,32,355,408,200,37,16,249,67,36,11,10,3
1426,"Pilobolus: A dance of ""Symbiosis""",Pilobolus,3051507,222,1810,142,420,18,53,22,58,525,846,21,2011,34,81,22
1427,Anna Deavere Smith: Four American characters,Anna Deavere Smith,978825,111,179,186,151,67,31,149,208,224,7,14,146,39,36,37
1428,Saul Griffith: Everyday inventions,Saul Griffith,442553,28,89,94,48,31,98,84,22,4,12,53,23,4,6,3
1429,Neil Gershenfeld: Unleash your creativity in a Fab Lab,Neil Gershenfeld,691814,64,156,11,55,26,111,188,172,9,21,12,105,42,9,10
1430,Carl Honor?: In praise of slowness,Carl Honor?,2441805,226,199,313,159,411,1260,242,93,73,35,575,53,21,30,141
1431,Bill Clinton: My wish: Rebuilding Rwanda,Bill Clinton,849859,97,37,102,23,45,45,208,368,86,160,47,32,11,7,11
1432,E.O. Wilson: My wish: Build the Encyclopedia of Life,E.O. Wilson,1335732,89,60,168,74,44,20,71,17,353,403,229,79,46,178,5
1433,James Nachtwey: My wish: Let my photographs bear witness,James Nachtwey,1262674,107,637,126,25,27,234,574,198,15,24,296,171,24,13,3
1434,Jane Goodall: What separates us from chimpanzees?,Jane Goodall,1663001,161,441,36,289,70,30,28,387,944,432,35,285,107,27,63
1435,Seth Godin: How to get your ideas to spread,Seth Godin,5570544,220,785,95,444,91,59,23,997,1040,571,46,811,158,100,34
1436,James Watson: How we discovered DNA,James Watson,1520908,114,101,306,106,54,39,230,360,184,298,34,66,54,47,29
1437,Al Seckel: Visual illusions that show how we (mis)think,Al Seckel,2138907,88,80,123,109,319,221,173,367,102,62,284,35,93,32,2
1438,Dean Kamen: To invent is to give,Dean Kamen,680134,130,121,15,49,20,19,89,116,68,34,14,34,63,17,17
1439,Juan Enriquez: The life code that will reshape the future,Juan Enriquez,690928,49,27,35,89,23,19,319,176,310,19,7,133,21,181,15
1440,Stefan Sagmeister: Happiness by design,Stefan Sagmeister,1762302,86,31,468,159,180,68,100,542,138,52,70,123,14,23,33
1441,Alex Steffen: The route to a sustainable future,Alex Steffen,1392010,107,100,97,78,313,518,30,158,31,12,59,72,174,14,15
1442,Thom Mayne: How architecture can connect us,Thom Mayne,660909,50,69,24,42,60,61,91,59,53,11,44,15,18,7,2
1443,Chris Bangle: Great cars are great art,Chris Bangle,867495,78,88,97,32,81,100,36,23,87,162,76,45,64,28,9
1444,"Nora York: Singing ""What I Want""",Nora York,395769,40,123,22,20,17,71,2,22,38,5,31,11,7,13,3
1445,Paul Bennett: Design is in the details,Paul Bennett,761930,27,130,33,12,31,11,199,276,14,98,54,9,56,19,1
1446,"Vik Muniz: Art with wire, sugar, chocolate and string",Vik Muniz,1149090,84,448,507,364,27,21,46,362,402,16,10,162,20,44,9
1447,Nick Bostrom: A philosophical quest for our biggest problems,Nick Bostrom,762264,131,78,66,173,273,88,151,108,119,15,20,108,47,66,19
1448,Janine Benyus: Biomimicry's surprising lessons from nature's engineers,Janine Benyus,1920434,127,74,241,33,387,448,874,704,18,11,338,234,38,27,14
1449,Craig Venter: Sampling the ocean's DNA,Craig Venter,560904,34,21,54,23,12,199,73,163,8,74,23,10,3,3,0
1450,Golan Levin: Software (as) art,Golan Levin,606311,47,95,89,56,80,53,13,21,43,65,7,89,57,16,0
1451,Susan Savage-Rumbaugh: The gentle genius of bonobos,Susan Savage-Rumbaugh,2197377,335,544,272,70,119,56,604,556,1342,1936,61,15,106,37,23
1452,Frans Lanting: The story of life in photographs,Frans Lanting,1697185,143,1262,141,75,71,108,262,611,600,25,18,882,145,62,88
1453,Sheila Patek: The shrimp with a kick!,Sheila Patek,1115081,57,108,111,159,5,496,85,724,16,234,67,16,8,21,3
1454,"Jill Sobule: Global warming's theme song, ""Manhattan in January""",Jill Sobule,591379,39,45,259,84,11,16,25,70,16,5,28,16,10,8,6
1455,Caroline Lavelle: Casting a spell on the cello,Caroline Lavelle,398713,34,215,21,20,45,5,32,17,9,58,7,5,1,2,0
1456,Dan Dennett: The illusion of consciousness,Dan Dennett,2676717,501,219,197,101,189,67,680,204,264,27,182,289,89,45,653
1457,Evelyn Glennie: How to truly listen,Evelyn Glennie,4165572,296,122,1535,397,312,33,107,483,2061,49,1291,1587,218,114,29
1458,William McDonough: Cradle to cradle design,William McDonough,1426390,231,75,415,138,34,149,49,257,695,286,27,907,207,39,25
1459,Jeff Bezos: The electricity metaphor for the web's future,Jeff Bezos,754700,58,83,14,130,66,41,24,18,267,166,93,68,66,16,16
1460,Rives: A mockingbird remix of TED2006,Rives,643078,58,189,169,225,124,7,117,5,8,133,11,11,17,8,4
1461,"Eddi Reader: ""Kiteflyer's Hill""",Eddi Reader,513672,75,13,396,17,61,9,5,24,35,47,3,7,2,2,0
1462,"Eddi Reader: ""What You've Got""",Eddi Reader,428351,50,272,6,12,20,13,169,12,31,24,48,23,15,1,3
1463,Tom Honey: Why would God create a tsunami?,Tom Honey,616385,588,435,104,87,223,316,75,319,112,11,36,66,66,98,27
1464,Richard Dawkins: Militant atheism,Richard Dawkins,4374792,6404,3236,539,399,86,1203,663,192,1113,2935,934,2475,551,406,172
1465,Tom Rielly: A comic sendup of TED2006,Tom Rielly,609087,49,600,94,38,56,54,37,17,11,18,19,116,39,71,1
1466,"Rachelle Garniez: ""La Vie en Rose""",Rachelle Garniez,443180,39,58,224,8,27,9,26,40,43,55,14,12,1,4,0
1467,Chris Anderson: Technology's long tail,Chris Anderson,904520,42,33,8,39,334,55,100,11,19,8,17,51,85,12,15
1468,Natalie MacMaster: Cape Breton fiddling in reel time,Natalie MacMaster,717002,67,364,29,22,102,23,67,54,80,10,23,6,12,12,1
1469,Sergey Brin + Larry Page: The genesis of Google,Sergey Brin + Larry Page,1451846,56,143,54,50,94,51,77,302,176,97,19,163,17,39,22
1470,"Stew: ""Black Men Ski""",Stew,577502,72,275,88,61,26,57,38,33,52,36,32,101,23,29,16
1471,James Howard Kunstler: The ghastly tragedy of the suburbs,James Howard Kunstler,1683456,328,1006,446,52,191,106,113,29,686,801,342,1678,193,124,87
1472,David Kelley: Human-centered design,David Kelley,779873,32,50,73,43,25,7,113,144,29,84,50,10,11,7,13
1473,Stewart Brand: What squatter cities can teach us,Stewart Brand,940913,99,159,30,261,24,10,189,53,58,25,15,115,49,44,10
1474,Jeff Hawkins: How brain science will change computing,Jeff Hawkins,1371482,230,73,375,256,39,44,37,553,635,750,22,268,151,28,43
1475,Tierney Thys: Swim with the giant sunfish,Tierney Thys,870412,87,330,156,22,15,383,144,347,5,22,50,28,31,14,3
1476,Blaise Ag?_era y Arcas: How PhotoSynth can connect the world's images,Blaise Ag?_era y Arcas,4772595,260,632,1736,76,70,60,41,40,647,857,1623,14728,95,119,21
1477,John Doerr: Salvation (and profit) in greentech,John Doerr,805111,295,174,72,33,4,42,19,19,234,378,57,207,49,39,27
1478,Ngozi Okonjo-Iweala: Want to help Africa? Do business here,Ngozi Okonjo-Iweala,1044185,127,132,136,43,21,20,347,363,78,176,39,42,2,2,3
1479,Anand Agarawala: Rethink the desktop with BumpTop,Anand Agarawala,1479503,124,161,470,342,10,77,13,45,177,125,301,167,94,48,8
1480,Robert Thurman: We can be Buddhas,Robert Thurman,1493606,220,330,424,57,47,73,50,71,185,947,209,171,90,39,26
1481,David Rockwell: A memorial at Ground Zero,David Rockwell,404402,14,60,64,12,29,37,12,3,11,11,26,19,4,9,0
1482,Thomas Barnett: Let's rethink America's military strategy,Thomas Barnett,1136037,305,88,384,293,194,16,44,149,479,319,31,535,160,87,17
1483,"Ethel: A string quartet plays ""Blue Room""",Ethel,384641,27,216,6,3,24,10,14,54,48,19,10,57,8,8,0
1484,Stephen Lawler: Tour Microsoft's Virtual Earth,Stephen Lawler,308879,22,34,13,9,44,16,17,16,61,54,81,4,43,14,3
1485,Hans Rosling: New insights on poverty,Hans Rosling,3243784,261,218,730,1021,284,36,27,1544,1569,1265,29,5137,828,21,74
1486,Bill Stone: I'm going to the moon. Who's with me?,Bill Stone,1801117,240,720,62,64,237,172,32,32,21,683,437,1507,205,48,54
1487,Dan Dennett: Dangerous memes,Dan Dennett,1596067,392,93,327,181,67,167,107,854,488,146,1707,222,143,62,763
1488,Alan Russell: The potential of regenerative medicine,Alan Russell,1427723,150,303,15,83,30,26,469,400,553,23,13,235,463,47,16
1489,Jonathan Harris: The Web's secret stories,Jonathan Harris,1049727,145,558,125,360,50,54,232,416,642,95,31,1157,135,48,28
1490,Emily Oster: Flip your thinking on AIDS in Africa,Emily Oster,854967,136,94,34,15,50,7,86,38,40,386,103,83,144,40,18
1491,"Will Wright: Spore, birth of a game",Will Wright,1107307,126,628,238,70,91,21,218,459,596,37,51,1285,90,95,18
1492,Rives: The  4 a.m. mystery,Rives,3387765,276,891,2460,43,169,151,82,431,92,78,81,103,76,238,65
1493,David Bolinsky: Visualizing the wonder of a living cell,David Bolinsky,1788182,231,1054,449,149,252,65,23,52,397,912,28,1772,14,111,31
1494,Allison Hunt: How to get (a new) hip,Allison Hunt,558993,80,52,96,440,38,105,42,44,10,27,14,74,8,52,11
1495,George Ayittey: Africa's cheetahs versus hippos,George Ayittey,648234,97,249,254,15,15,29,286,80,30,17,35,165,29,53,10
1496,Ngozi Okonjo-Iweala: Aid versus trade,Ngozi Okonjo-Iweala,524049,108,102,26,193,14,141,32,32,28,39,1249,38,22,16,11
1497,William Kamkwamba: How I built a windmill,William Kamkwamba,1543596,174,236,310,348,36,70,1047,216,12,14,13,51,136,23,14
1498,Euvin Naidoo: Why invest in Africa,Euvin Naidoo,335086,31,119,98,31,33,8,16,11,16,34,3,5,6,1,1
1499,Patrick Awuah: How to educate leaders? Liberal arts,Patrick Awuah,1216429,150,320,171,810,146,115,29,45,54,3,183,65,50,5,1
1500,Chris Abani: Telling stories from Africa,Chris Abani,561703,77,221,220,133,140,83,24,102,13,39,28,42,13,16,14
1501,Jacqueline Novogratz: Patient capitalism,Jacqueline Novogratz,836269,106,412,89,126,167,18,47,7,87,19,140,32,44,6,7
1502,"Vusi Mahlasela: ""Thula Mama""",Vusi Mahlasela,531957,60,72,359,207,42,15,13,10,5,17,5,18,32,12,3
1503,"Vusi Mahlasela: ""Woza""",Vusi Mahlasela,416603,36,4,54,210,4,5,71,17,24,7,35,13,10,2,0
1504,Jeff Skoll: My journey into movies that matter,Jeff Skoll,727247,49,91,412,75,137,37,31,42,52,40,83,64,19,25,7
1505,"Dean Kamen: Luke, a new prosthetic arm for soldiers",Dean Kamen,1575699,102,942,1075,310,688,28,265,25,348,24,26,2080,87,65,25
1506,Erin McKean: The joy of lexicography,Erin McKean,1013063,151,45,343,518,195,965,243,557,31,83,51,104,206,41,40
1507,Andrew Mwenda: Aid for Africa? No thanks.,Andrew Mwenda,722877,126,240,251,403,52,64,25,115,15,9,1020,67,38,8,7
1508,"Theo Jansen: My creations, a new form of life",Theo Jansen,3982352,304,1514,1289,656,67,631,109,74,214,77,37,2186,100,30,21
1509,Steven Pinker: What our language habits reveal,Steven Pinker,1914263,124,206,956,91,175,476,100,148,352,46,13,193,150,29,24
1510,Steven Pinker: The surprising decline in violence,Steven Pinker,2063367,677,1314,242,491,731,176,147,116,48,39,42,1739,161,94,109
1511,Deborah Scranton: An Iraq war movie crowd-sourced from soldiers,Deborah Scranton,507997,164,72,338,145,25,33,65,198,18,60,30,69,51,23,3
1512,Zeresenay Alemseged: The search for humanity's roots,Zeresenay Alemseged,913666,65,349,436,56,25,55,167,31,24,33,21,23,64,46,1
1513,John Maeda: Designing for simplicity,John Maeda,1215947,83,643,183,269,403,184,27,185,145,190,168,50,155,45,22
1514,Stephen Petranek: 10 ways the world could end,Stephen Petranek,1712075,169,244,460,61,356,121,20,70,152,14,79,97,19,69,158
1515,Paul MacCready: A flight on solar wings,Paul MacCready,736290,29,140,111,111,148,70,165,18,31,12,13,13,31,34,3
1516,Carolyn Porco: This is Saturn,Carolyn Porco,2627709,225,1768,1166,1224,73,880,61,47,65,15,4971,78,108,25,24
1517,Kenichi Ebina: My magic moves,Kenichi Ebina,1720579,101,307,414,200,562,229,125,41,73,67,9,1153,533,110,13
1518,"Richard Branson: Life at 30,000 feet",Richard Branson,1609555,80,367,150,700,252,230,57,55,33,7,46,72,44,55,12
1519,"Hod Lipson: Building ""self-aware"" robots",Hod Lipson,1212346,242,278,173,448,33,64,297,42,27,25,31,106,60,20,11
1520,Maira Kalman: The illustrated woman,Maira Kalman,672254,45,160,138,67,263,121,144,28,25,118,49,15,7,28,67
1521,Jan Chipchase: The anthropology of mobile phones,Jan Chipchase,694378,145,454,111,249,128,211,190,166,26,16,19,154,21,49,29
1522,VS Ramachandran: 3 clues to understanding your brain,VS Ramachandran,3930186,432,3847,2402,673,1458,215,969,25,77,31,52,1775,423,15,107
1523,Eleni Gabre-Madhin: A commodities exchange for Ethiopia,Eleni Gabre-Madhin,562457,64,222,177,78,27,38,137,29,47,8,31,31,73,3,1
1524,Sherwin Nuland: How electroshock therapy changed me,Sherwin Nuland,1522858,262,1417,1286,466,453,37,308,95,54,39,16,121,44,128,28
1525,Matthieu Ricard: The habits of happiness,Matthieu Ricard,7271730,412,245,3774,400,1621,88,1170,863,106,194,109,618,139,268,28
1526,Lawrence Lessig: Laws that choke creativity,Lawrence Lessig,1895259,328,423,1074,344,589,1014,254,35,91,76,76,2163,41,89,157
1527,Paul Rothemund: Playing with DNA that self-assembles,Paul Rothemund,410563,40,140,195,261,65,12,34,64,9,23,15,98,40,9,9
1528,David Keith: A critical look at geoengineering against climate change,David Keith,876658,279,680,262,166,300,184,129,57,30,43,14,1352,61,77,43
1529,Juan Enriquez: Using biology to rethink the energy challenge,Juan Enriquez,898974,115,551,282,71,81,246,186,79,115,30,11,1008,63,69,37
1530,Larry Brilliant: The case for optimism,Larry Brilliant,418234,46,207,57,171,104,56,19,94,14,28,48,28,44,9,2
1531,Robert Full: The sticky wonder of gecko feet,Robert Full,707524,31,310,513,262,228,78,51,4,13,7,9,116,26,21,14
1532,Ron Eglash: The fractals at the heart of African designs,Ron Eglash,1527858,185,1137,412,657,38,19,365,317,73,45,39,954,102,51,15
1533,Philippe Starck: Design and destiny,Philippe Starck,1783740,156,276,192,855,334,711,201,175,216,165,103,129,68,88,67
1534,"Murray Gell-Mann: Beauty, truth and ... physics?",Murray Gell-Mann,1181696,160,296,372,483,57,55,509,120,297,53,42,50,115,114,13
1535,Amory Lovins: Winning the oil endgame,Amory Lovins,832668,154,333,221,620,254,67,10,45,63,40,38,375,46,17,123
1536,"Arthur Benjamin: A performance of ""Mathemagic""",Arthur Benjamin,8360707,604,3710,1944,340,817,429,2152,168,84,114,182,7196,314,128,151
1537,Daniel Goleman: Why aren't we more compassionate?,Daniel Goleman,1604402,183,515,59,233,246,830,111,67,39,38,48,255,140,30,12
1538,Lakshmi Pratury: The lost art of letter-writing,Lakshmi Pratury,533761,71,13,45,288,330,9,82,25,11,13,53,75,12,5,18
1539,Gever Tulley: 5 dangerous things you should let your kids do,Gever Tulley,4364865,435,1035,960,1210,598,422,371,238,70,61,78,1414,378,82,37
